"";"city_id";"town_id";"city_town";"district_neighborhood";"neighborhood_id";"subdivisions"
"1";1;6;"1 - Ceyhan";"6 - BOTA MH.";337;NA
"2";1;4;"1 - Cukurova";"4 - MEMISLI MH.";298;NA
"3";1;4;"1 - Cukurova";"4 - FADIL MH.";301;NA
"4";1;4;"1 - Cukurova";"4 - BOZCALAR MH.";297;NA
"5";1;4;"1 - Cukurova";"4 - ORCUN MH.";305;NA
"6";1;4;"1 - Cukurova";"4 - KUCUKCINAR MH.";306;NA
"7";1;10;"1 - Karatas";"10 - TABAKLAR MH.";652;NA
"8";1;10;"1 - Karatas";"10 - CAVUSLU MH.";644;NA
"9";1;10;"1 - Karatas";"10 - KARAGOCER MH.";649;NA
"10";1;10;"1 - Karatas";"10 - ATAKOY MH.";642;NA
"11";1;10;"1 - Karatas";"10 - BEBELI MH.";609;NA
"12";1;10;"1 - Karatas";"10 - KAPI MH.";637;NA
"13";1;10;"1 - Karatas";"10 - YENI MH.";604;NA
"14";1;10;"1 - Karatas";"10 - BAHCE MH.";52466;NA
"15";1;11;"1 - Kozan";"11 - AKARCA MH.";717;NA
"16";1;3;"1 - Saricam";"3 - ISTIKLAL MH.";60847;NA
"17";1;3;"1 - Saricam";"3 - BALCALI MH.";60842;NA
"18";1;1;"1 - Seyhan";"1 - CAPUTCU MH.";89;NA
"19";1;1;"1 - Seyhan";"1 - YESILYUVA MH.";35;NA
"20";1;1;"1 - Seyhan";"1 - BESOCAK MH.";6;NA
"21";1;1;"1 - Seyhan";"1 - KOCAVEZIR MH.";30;NA
"22";1;1;"1 - Seyhan";"1 - TEPEBAG MH.";3;NA
"23";1;1;"1 - Seyhan";"1 - MIRZACELEBI MH.";34;NA
"24";1;1;"1 - Seyhan";"1 - KURUKOPRU MH.";31;NA
"25";1;1;"1 - Seyhan";"1 - ULUCAMII MH.";4;NA
"26";1;1;"1 - Seyhan";"1 - ALIDEDE MH.";5;NA
"27";1;1;"1 - Seyhan";"1 - KARASOKU MH.";8;NA
"28";1;1;"1 - Seyhan";"1 - GULPINAR MH.";66;NA
"29";1;1;"1 - Seyhan";"1 - HANEDAN MH.";27;NA
"30";1;1;"1 - Seyhan";"1 - MESTANZADE MH.";9;NA
"31";1;1;"1 - Seyhan";"1 - HURRIYET MH.";7;NA
