name,countryId,geoRegionId,cityId,townId,districtId,quarterId,districtName,updated,type,id
Karaatlı Mh.,1,3,15,188,882,10000,Köyler,1.61783E+12,Quarter,10000
Karaköy Köyü,1,3,15,188,882,10001,Köyler,1.61783E+12,Quarter,10001
Kavak Köyü,1,3,15,188,882,10002,Köyler,1.61783E+12,Quarter,10002
Kayadibi Mh.,1,3,15,188,882,10003,Köyler,1.61783E+12,Quarter,10003
Niyazlar Köyü,1,3,15,188,882,10005,Köyler,1.61783E+12,Quarter,10005
Orhanlı Köyü,1,3,15,188,882,10007,Köyler,1.61783E+12,Quarter,10007
Sazak Köyü,1,3,15,188,882,10009,Köyler,1.61783E+12,Quarter,10009
Pınarbaşı OSB,1,6,2,17,120,1000,Besni,1.61192E+12,Quarter,1000
Taşpınar Köyü,1,3,15,188,882,10010,Köyler,1.61783E+12,Quarter,10010
Dereköy Köyü,1,3,15,188,882,10012,Köyler,1.61783E+12,Quarter,10012
Beşevler Mh.,1,0,16,189,884,10016,Beşevler,1.62276E+12,Quarter,10016
Çamlıca Mh.,1,0,16,189,884,10017,Beşevler,1.62276E+12,Quarter,10017
Gümüştepe Mh.,1,0,16,189,884,10018,Beşevler,1.62276E+12,Quarter,10018
Konak Mah.,1,0,16,189,884,10019,Beşevler,1.62276E+12,Quarter,10019
Cirit Meydanı Mh.,1,6,2,17,120,1001,Besni,1.61192E+12,Quarter,1001
Kültür Mh.,1,0,16,189,884,10020,Beşevler,1.62276E+12,Quarter,10020
Odunluk Mah.,1,0,16,189,884,10021,Beşevler,1.62276E+12,Quarter,10021
Esentepe Mah.,1,0,16,189,885,10022,İhsaniye,1.62276E+12,Quarter,10022
İhsaniye Mh.,1,0,16,189,885,10023,İhsaniye,1.62276E+12,Quarter,10023
Karaman Mah.,1,0,16,189,885,10024,İhsaniye,1.62276E+12,Quarter,10024
Ataevler Mah.,1,0,16,189,886,10025,Ataevler,1.62276E+12,Quarter,10025
Barış Mh.,1,0,16,189,886,10026,Ataevler,1.62276E+12,Quarter,10026
